,movie,year,imdb
784,"South Park: Bigger, Longer & Uncut",1999,7.7
785,The Nightmare Before Christmas,1993,8
786,Persepolis,2007,8
787,Hauru no ugoku shiro,2004,8.2
788,Hotaru no haka,1988,8.5
789,Armageddon,1998,6.7
790,A Series of Unfortunate Events,2004,6.8
791,The Hitchhiker's Guide to the Galaxy,2005,6.8
792,Conan the Barbarian,1982,6.9
793,Peter Pan,2003,6.8
794,The SpongeBob SquarePants Movie,2004,7.1
795,Jumanji,1995,7
796,Artificial Intelligence: AI,2001,7.2
797,Lilo & Stitch,2002,7.2
798,The Descent,2005,7.2
799,The Emperor's New Groove,2000,7.3
800,Casino,1995,8.2
801,Braveheart,1995,8.3
802,Titanic,1997,7.8
803,The Last Emperor,1987,7.7
804,Blue Velvet,1986,7.8
805,E.T. the Extra-Terrestrial,1982,7.8
806,Blade Runner,1982,8.1
807,Full Metal Jacket,1987,8.3
808,The Usual Suspects,1995,8.5
809,WALL·E,2008,8.4
810,Toy Story 3,2010,8.3
811,Star Wars: Episode V - The Empire Strikes Back,1980,8.7
812,Aliens,1986,8.3
813,Sicko,2007,7.9
814,Casablanca,1942,8.5
815,Lawrence of Arabia,1962,8.3
816,"Il buono, il brutto, il cattivo",1966,8.8
817,Dark City,1998,7.6
818,Paranormal Activity,2007,6.3
819,Zodiac,2007,7.7
820,21 Jump Street,2012,7.2
821,Rogue One,2016,7.8
822,Hacksaw Ridge,2016,8.1
823,Heat,1995,8.2
824,One Flew Over the Cuckoo's Nest,1975,8.7
825,Up,2009,8.2
826,Apocalypse Now,1979,8.4
827,The Man Who Would Be King,1975,7.8
828,Rosemary's Baby,1968,8
829,American History X,1998,8.5
830,Coraline,2009,7.7
831,Spider-Man 2,2004,7.3
832,Fight Club,1999,8.8
833,The Conjuring,2013,7.5
834,The Grand Budapest Hotel,2014,8.1
835,Inglourious Basterds,2009,8.3
836,Rise of Empires: Ottoman,2020,8
837,Dracula,2020,6.8
838,Black Panther,2018,7.3
839,Kingsman: The Secret Service,2014,7.7
840,Thor: Ragnarok,2017,7.9
841,Guardians of the Galaxy,2014,8
842,Batman Begins,2005,8.2
843,The Dark Knight Rises,2012,8.4
844,Joker,2019,8.5
845,Interstellar,2014,8.6
846,It's a Mad Mad Mad Mad World,1963,7.5
847,Mulan,1998,7.6
848,Idi i smotri,1985,8.3
849,L.A. Confidential,1997,8.2
850,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4
851,The Great Dictator,1940,8.4
852,Whiplash,2014,8.5
853,Avengers: Infinity War,2018,8.5
854,Cidade de Deus,2002,8.6
855,The Notebook,2004,7.8
856,The Perks of Being a Wallflower,2012,8
857,Alien,1979,8.4
858,The Matrix,1999,8.7
859,30 Days of Night,2007,6.6
860,Schindler's List,1993,8.9
861,The Evil Dead,1981,7.5
862,The Wicker Man,1973,7.5
863,The Omen,1976,7.5
864,Interview with the Vampire: The Vampire Chronicles,1994,7.6
865,The Others,2001,7.6
866,Halloween,1978,7.8
867,Evil Dead II,1987,7.8
868,Shaun of the Dead,2004,7.9
869,The Exorcist,1973,8
870,Blade Runner 2049,2017,8
871,The Godfather: Part III,1990,7.6
872,Saw,2004,7.6
873,Misery,1990,7.8
874,Bonnie and Clyde,1967,7.8
875,The Green Mile,1999,8.6
876,The Pianist,2002,8.5
877,Brother Bear,2003,6.8
878,Cars,2006,7.1
879,Tarzan,1999,7.3
880,Shrek 2,2004,7.2
881,The Land Before Time,1988,7.4
882,The Simpsons Movie,2007,7.3
883,Corpse Bride,2005,7.3
884,"South Park: Bigger, Longer & Uncut",1999,7.7
885,The Nightmare Before Christmas,1993,8
886,Persepolis,2007,8
887,Hauru no ugoku shiro,2004,8.2
888,Hotaru no haka,1988,8.5
889,Armageddon,1998,6.7
890,A Series of Unfortunate Events,2004,6.8
891,The Hitchhiker's Guide to the Galaxy,2005,6.8
892,Conan the Barbarian,1982,6.9
893,Peter Pan,2003,6.8
894,The SpongeBob SquarePants Movie,2004,7.1
895,Jumanji,1995,7
896,Artificial Intelligence: AI,2001,7.2
897,Lilo & Stitch,2002,7.2
898,The Descent,2005,7.2
899,The Emperor's New Groove,2000,7.3
