,movie,year,imdb,
324,Star Wars: Episode II - Attack of the Clones,2002,6.5,5
325,Troy,2004,7.2,5
326,The Hunger Games,2012,7.2,5
327,The Devil Wears Prada,2006,6.9,5
328,Rise of the Planet of the Apes,2011,7.6,5
329,Charlie and the Chocolate Factory,2005,6.6,5
330,The Assassination of Jesse James by the Coward Robert Ford,2007,7.5,5
331,Jurassic World,2015,7,5
332,Harold & Kumar Escape from Guantanamo Bay,2008,6.6,5
333,RED,2010,7,5
334,Mongol,2007,7.2,5
335,Skyfall,2012,7.7,5
336,He's Just Not That Into You,2009,6.4,5
337,Juno,2007,7.4,5
338,The Hitchhiker's Guide to the Galaxy,2005,6.8,5
339,The Day After Tomorrow,2004,6.4,5
340,Independence Day,1996,7,5
341,Pretty Woman,1990,7,5
342,Ender's Game,2013,6.6,5
343,The Queen,2006,7.3,5
344,Sherlock Holmes,2009,7.6,5
345,A Christmas Carol,2009,6.8,5
346,Cars,2006,7.1,5
347,Transcendence,2014,6.3,5
348,Shaun of the Dead,2004,7.9,5
349,Mission: Impossible - Ghost Protocol,2011,7.4,5
350,Avatar,2009,7.8,5
351,Up in the Air,2009,7.4,5
352,Casino Royale,2006,8,5
353,Man on Fire,2004,7.7,5
354,Armageddon,1998,6.7,5
355,The Godfather: Part III,1990,7.6,5
356,The Proposal,2009,6.7,5
357,War for the Planet of the Apes,2017,7.4,5
358,A Series of Unfortunate Events,2004,6.8,5
359,Rush Hour,1998,7,5
360,The Time Traveler's Wife,2009,7.1,5
361,The Great Dictator,1940,8.4,5
362,The Curious Case of Benjamin Button,2008,7.8,5
363,It Follows,2014,6.8,5
364,Kingsman: The Secret Service,2014,7.7,5
365,The Mask of Zorro,1998,6.7,5
366,Madagascar,2005,6.9,5
367,The Imitation Game,2014,8,5
368,The Bourne Identity,2002,7.9,5
369,The Chronicles of Narnia: Prince Caspian,2008,6.5,5
370,Pacific Rim,2013,6.9,5
371,Johnny English,2003,6.2,5
372,Grindhouse,2007,7.5,5
373,Batman,1989,7.5,5
374,The Holiday,2006,6.9,5
375,National Treasure,2004,6.8,5
376,Iron Man,2008,7.9,5
377,Watchmen,2009,7.6,5
378,Scary Movie,2000,6.2,5
379,Fury,2014,7.6,5
380,Maleficent,2014,7,5
